No.,Year,site,zone,OC - C.baronessa,OC - C.trifascialis,OC - C.lunulatus, OC - C.aureofasciatus,OC - C.bennetti,OC - C.pelewensis,OC - C.plebeius,OC - C.rainfordi,SC - C.melannotus,SC - C.unimaculatus,FC - C.citrinellus,FC - C.ephippium,FC - C.kleinii,FC - C.mertensii,FC - C.speculum,FC - C.ulientensis,NC - C.auriga,NC - C.flavirostris,NC - C.lineolatus,NC - C.lunula,NC - C.rafflesi,NC - C.semion,NC - C.vagabundus,Obligate corallivores,Facultative corallivores,Non corallivores,No. species,Total
1,1995,NR,Flat,2,2,2,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,10,9,2,6,21
2,1995,NR,Flat,4,3,4,0,0,0,4,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,16,9,0,7,25
3,1995,NR,Flat,2,1,6,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,15,12,2,6,29
4,1995,NR,Flat,3,3,2,0,0,0,5,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,4,13,6,5,8,24
5,1995,NR,Flat,4,1,2,0,0,0,5,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,13,7,1,7,21
6,1995,NR,Crest,10,4,10,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,5,27
7,1995,NR,Crest,7,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,4,13
8,1995,NR,Crest,3,0,4,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,6,16
9,1995,NR,Crest,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,16,0,3,5,19
10,1995,NR,Crest,9,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,5,19
11,1995,NR,Crest,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,5,5,17
12,1995,NR,Slope,4,0,2,0,0,0,2,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,14,4,0,7,18
13,1995,NR,Slope,4,0,3,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,2,0,5,14
14,1995,NR,Slope,3,2,2,0,0,0,0,1,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,8,9,0,8,17
15,1995,NR,Slope,4,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,8,3,2,7,13
16,1995,NR,Slope,2,0,3,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,6,13
17,1995,NR,Slope,6,0,7,0,0,0,2,0,1,1,2,0,5,0,0,0,1,0,0,0,0,0,0,17,7,1,8,25
18,1995,NR,Base,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,4,2,5,7
19,1995,NR,Base,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,3,3,3,5,9
20,1995,NR,Base,2,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4,5,0,4,9
