#,Year,Site,Zone,Replicate,Method,DivideBy,Sum Points,Hard Coral Cover,Pocillopora damicornis,Other Pocillopora,Seriatopora,Stylophora,Montipora,Astreopora,Isopora,Acropora hyacinthus,Acropora aspera Group,Acropora divaricata Group,Acropora echinata Group,Acropora florida Group,Acropora muricata Group,Acropora horrida Group,Acropora humilis Group,Acropora hyacinthus Group,Acropora latistella Group,Acropora loripes Group,Acropora lovelli Group,Acropora nasuta Group,Acropora robusta Group,Acropora selago Group,Other Acropora,Porites,Goniopora,Psammacora,Coscinaraea,Pavona,Leptoseris,Gardinoseris,Coleoseris,Pachyseris,Fungiidae,Galaxea,Echinophyllia,Oxypora,Mycedium,Pectinia,Scolymia,Acanthastrea,Lobophyllia,Symphyllia,Hydonophora,Merulina,Caulastrea,Dipsastrea,Favites,Montastrea,Goniastrea,Platygyra,Leptoria,Astrea,Pleisiastrea,Diploastrea,Leptastrea,Cyphastrea,Echinopora,Caryophillidae,Scapophyllia,Turbinaria,Physogyra,Other Scleractinain,Heliopora,Millepora,SC_Dendronepthea,SC_Lobophytum,SC_Sarcophyton,SC_Nepthea,SC_Palythoa,SC_Sinularia,SC_Rhytisma,SC_Xenia,Other soft coral,Total soft coral
1,1995,1. North Reef,1. Flat,1,5 x 10m LIT,1000,282,28.2,25,25,0,0,0,0,12,89,0,0,0,0,0,0,25,32,0,0,0,37,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,1. North Reef,1. Flat,2,5 x 10m LIT,1000,344,34.4,25,16,0,0,0,0,0,154,0,0,0,0,50,0,17,32,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1995,1. North Reef,1. Flat,3,5 x 10m LIT,1000,369,36.9,0,12,4,0,0,27,0,145,0,0,0,0,52,0,42,35,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1995,1. North Reef,1. Flat,4,5 x 10m LIT,1000,292,29.2,25,32,0,0,0,0,15,65,0,0,0,8,50,0,45,40,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1995,1. North Reef,1. Flat,5,5 x 10m LIT,1000,226,22.6,50,5,0,0,0,0,0,21,0,0,0,0,25,0,8,30,0,0,0,12,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1995,1. North Reef,2. Crest,1,5 x 10m LIT,1000,320,32,25,12,0,0,0,0,0,175,0,0,0,0,25,0,16,17,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1995,1. North Reef,2. Crest,2,5 x 10m LIT,1000,425,42.5,50,5,0,0,0,0,0,200,0,0,0,0,25,0,50,20,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
8,1995,1. North Reef,2. Crest,3,5 x 10m LIT,1000,346,34.6,50,5,0,0,0,0,0,200,0,0,0,0,50,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1995,1. North Reef,2. Crest,4,5 x 10m LIT,1000,466,46.6,0,0,0,0,25,0,0,350,0,0,0,0,25,0,16,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1995,1. North Reef,2. Crest,5,5 x 10m LIT,1000,392,39.2,50,5,0,0,0,0,0,275,0,0,0,0,0,0,25,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
11,1995,1. North Reef,3. Slope,1,5 x 10m LIT,1000,576,57.6,50,5,0,0,25,0,0,100,0,0,0,0,125,0,0,10,0,0,0,0,0,0,0,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,75,150
12,1995,1. North Reef,3. Slope,2,5 x 10m LIT,1000,321,32.1,50,5,0,0,50,0,0,25,0,0,0,0,0,0,16,25,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,30
13,1995,1. North Reef,3. Slope,3,5 x 10m LIT,1000,140,14,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1995,1. North Reef,3. Slope,4,5 x 10m LIT,1000,326,32.6,75,20,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,25,0,23,0,25,0,0,73,146
15,1995,1. North Reef,3. Slope,5,5 x 10m LIT,1000,285,28.5,50,5,0,0,0,0,0,50,0,0,0,0,75,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1995,1. North Reef,4. Base,1,5 x 10m LIT,1000,290,29,50,5,0,0,0,0,0,40,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1995,1. North Reef,4. Base,2,5 x 10m LIT,1000,148,14.8,40,0,0,0,0,0,0,0,0,0,0,30,0,0,8,0,0,0,0,20,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1995,1. North Reef,4. Base,3,5 x 10m LIT,1000,143,14.3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,20,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1995,1. North Reef,4. Base,4,5 x 10m LIT,1000,83,8.3,0,20,0,0,25,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1995,1. North Reef,4. Base,5,5 x 10m LIT,1000,324,32.4,75,25,0,20,25,0,0,0,0,0,0,0,25,0,0,48,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
21,1995,2. Washing Machine,1. Flat,1,5 x 10m LIT,1000,300,30,18,22,0,0,0,0,50,0,0,0,0,0,0,0,58,40,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,3,103,206
22,1995,2. Washing Machine,1. Flat,2,5 x 10m LIT,1000,153,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,0,0,0,62,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
23,1995,2. Washing Machine,1. Flat,3,5 x 10m LIT,1000,156,15.6,20,0,0,0,0,22,25,54,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
24,1995,2. Washing Machine,1. Flat,4,5 x 10m LIT,1000,314,31.4,0,41,25,0,0,0,20,62,0,0,0,0,0,0,17,12,0,0,0,87,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
25,1995,2. Washing Machine,1. Flat,5,5 x 10m LIT,1000,223,22.3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,41,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,30
26,1995,2. Washing Machine,2. Crest,1,5 x 10m LIT,1000,310,31,25,2,0,0,0,0,25,50,0,0,0,0,0,0,83,15,0,0,0,25,35,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,50
27,1995,2. Washing Machine,2. Crest,2,5 x 10m LIT,1000,296,29.6,25,25,0,0,0,0,50,175,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,50
28,1995,2. Washing Machine,2. Crest,3,5 x 10m LIT,1000,340,34,0,0,0,0,0,0,25,175,0,0,0,0,25,0,30,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50
29,1995,2. Washing Machine,2. Crest,4,5 x 10m LIT,1000,494,49.4,25,3,0,0,0,0,75,250,0,0,0,0,25,0,75,5,0,0,0,11,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50
30,1995,2. Washing Machine,2. Crest,5,5 x 10m LIT,1000,286,28.6,0,0,0,0,0,0,50,100,0,0,0,0,0,0,66,10,0,0,0,35,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1995,2. Washing Machine,3. Slope,1,5 x 10m LIT,1000,167,16.7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,15,15,30
32,1995,2. Washing Machine,3. Slope,2,5 x 10m LIT,1000,315,31.5,0,0,0,0,10,0,25,0,0,0,0,0,0,0,35,0,0,0,0,8,82,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,50
33,1995,2. Washing Machine,3. Slope,3,5 x 10m LIT,1000,276,27.6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,45,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
34,1995,2. Washing Machine,3. Slope,4,5 x 10m LIT,1000,225,22.5,0,0,0,0,25,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50
35,1995,2. Washing Machine,3. Slope,5,5 x 10m LIT,1000,430,43,50,5,0,0,50,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,50,100
36,1995,2. Washing Machine,4. Base,1,5 x 10m LIT,1000,241,24.1,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50
37,1995,2. Washing Machine,4. Base,2,5 x 10m LIT,1000,100,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1995,2. Washing Machine,4. Base,3,5 x 10m LIT,1000,130,13,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
39,1995,2. Washing Machine,4. Base,4,5 x 10m LIT,1000,141,14.1,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1995,2. Washing Machine,4. Base,5,5 x 10m LIT,1000,114,11.4,25,14,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
